#---------------------------------------------------#
#--- z = 0.00000, D(z) = 1.00000, f(z) = 0.50503 ---#
#-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------#
#      k [h/Mpc]             P_Zel                P_A                 P_W                 P_d                P_dd                P_d^2              P_d^2d^2             P_dd^2              P_s^2               P_ds^2             P_d^2s^2            P_s^2s^2             P_D2d              P_dD2d      #
#-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------#
    1.3785846350E-03    5.7478252565E+03    2.1005108507E-01   -1.3415976222E-01    1.1504824552E+04    6.0187607233E+03   -1.1811601097E-01    8.5518579415E+03    8.4727104964E-01    7.9605339300E-01    5.5437065101E-01    5.6955896206E+03    3.7948410896E+03   -6.0197442845E-03   -1.7916752743E+03
    1.4065268380E-03    5.8535137389E+03    2.2276521080E-01   -1.4218172851E-01    1.1716214814E+04    6.1208577889E+03   -1.2273130382E-01    8.5518499337E+03    8.8205466683E-01    8.2800026333E-01    5.7669667667E-01    5.6954227870E+03    3.7946402366E+03   -5.9814407117E-03   -2.8487922741E+03
    1.4350353949E-03    5.9609492019E+03    2.3613990995E-01   -1.5067342782E-01    1.1931064909E+04    6.2246987327E+03   -1.2756275741E-01    8.5517425933E+03    9.1825611588E-01    8.6119045275E-01    5.9989925343E-01    5.6952635836E+03    3.7944295394E+03   -6.2670982350E-03    4.8547823346E+02
    1.4641217849E-03    6.0701459044E+03    2.5045461086E-01   -1.5967001220E-01    1.2149471091E+04    6.3301232684E+03   -1.3250520429E-01    8.5516138853E+03    9.5596778923E-01    8.9571210733E-01    6.2403276230E-01    5.6950729614E+03    3.7941958426E+03   -7.6059172062E-03    3.1949258130E+03
    1.4937977199E-03    6.1811238990E+03    2.6546168683E-01   -1.6918878471E-01    1.2371405400E+04    6.4374119329E+03   -1.3770589870E-01    8.5516826662E+03    9.9521011355E-01    9.3156503724E-01    6.4910713920E-01    5.6949080847E+03    3.7939892136E+03   -8.9018392173E-03    4.3251143181E+02
    1.5240751495E-03    6.2938986150E+03    2.8150081633E-01   -1.7927150748E-01    1.2596972704E+04    6.5463268177E+03   -1.4303053286E-01    8.5517028161E+03    1.0360880115E+00    9.6884986458E-01    6.7518373402E-01    5.6947120778E+03    3.7937568176E+03   -9.3882235699E-03   -1.9108508164E+03
    1.5549662650E-03    6.4084901814E+03    2.9839683817E-01   -1.8994217428E-01    1.2826161092E+04    6.6570595384E+03   -1.4859405991E-01    8.5516531973E+03    1.0786357598E+00    1.0075808671E+00    7.0228039690E-01    5.6945207166E+03    3.7935150579E+03   -9.8168707586E-03   -1.0577049477E+03
    1.5864835051E-03    6.5249133909E+03    3.1631634571E-01   -2.0123850291E-01    1.3059033949E+04    6.7695458162E+03   -1.5434931528E-01    8.5515625023E+03    1.1229389144E+00    1.0478321560E+00    7.3044588632E-01    5.6943163302E+03    3.7932572524E+03   -1.0780402561E-02    9.7232456817E+02
    1.6186395607E-03    6.6431897422E+03    3.3532876933E-01   -2.1319669281E-01    1.3295631172E+04    6.8837985325E+03   -1.6029681065E-01    8.5515033615E+03    1.1690717947E+00    1.0896627133E+00    7.5972166922E-01    5.6940980267E+03    3.7929895539E+03   -1.2199410249E-02    1.4788835065E+03
    1.6514473797E-03    6.7633357011E+03    3.5535269092E-01   -2.2584889917E-01    1.3535961539E+04    6.9999368930E+03   -1.6651361589E-01    8.5515263334E+03    1.2170886323E+00    1.1331066323E+00    7.9013676459E-01    5.6938854881E+03    3.7927266910E+03   -1.3504896805E-02   -2.8276524098E+02
    1.6849201726E-03    6.8853676775E+03    3.7673541510E-01   -2.3924564804E-01    1.3780117880E+04    7.1177839608E+03   -1.7286670467E-01    8.5515020248E+03    1.2671101983E+00    1.1782737917E+00    8.2175967554E-01    5.6936392471E+03    3.7924358529E+03   -1.4273609349E-02   -1.7413886199E+03
    1.7190714175E-03    7.0093157784E+03    3.9918271294E-01   -2.5341261024E-01    1.4028066714E+04    7.2376528698E+03   -1.7954656755E-01    8.5514433776E+03    1.3191648498E+00    1.2251647568E+00    8.5460307302E-01    5.6934157969E+03    3.7921472711E+03   -1.5162826686E-02   -2.1011384462E+02
    1.7539148658E-03    7.1351844866E+03    4.2313941364E-01   -2.6841056770E-01    1.4279913196E+04    7.3592659822E+03   -1.8637071676E-01    8.5513527372E+03    1.3733934162E+00    1.2739088037E+00    8.8874626854E-01    5.6931580678E+03    3.7918313898E+03   -1.6675412705E-02    1.0665557521E+03
    1.7894645477E-03    7.2630025706E+03    4.4838125301E-01   -2.8427436924E-01    1.4535635825E+04    7.4828430001E+03   -1.9349712587E-01    8.5513303430E+03    1.4298392341E+00    1.3245208899E+00    9.2420997537E-01    5.6929044303E+03    3.7915172197E+03   -1.8330362748E-02    5.6478491447E+02
    1.8257347776E-03    7.3927831696E+03    4.7514438446E-01   -3.0105933929E-01    1.4795297019E+04    7.6082980069E+03   -2.0085417410E-01    8.5513143055E+03    1.4886187035E+00    1.3770976522E+00    9.6105771461E-01    5.6926345876E+03    3.7911881992E+03   -1.9760540476E-02   -5.5396829316E+02
    1.8627401602E-03    7.5245467419E+03    5.0351096602E-01   -3.1881740253E-01    1.5058928377E+04    7.7356519288E+03   -2.0844969284E-01    8.5512650663E+03    1.5498282351E+00    1.4317105027E+00    9.9934042617E-01    5.6923487426E+03    3.7908404602E+03   -2.1035648236E-02   -8.0586276098E+02
